Set	Name	Size	Length	Annotation
groupI	mmarc_betalactams169	295	1496	betalactams	Class A betalactamases	TEM
groupI	mmarc_betalactams170	2	795	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams171	6	789	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams172	153	1419	betalactams	Class C betalactamases	CMY
groupI	mmarc_betalactams173	2	808	betalactams	Class B betalactamases	VIM
groupI	mmarc_betalactams174	79	908	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams175	5	941	betalactams	Class A betalactamases	CARB
groupI	mmarc_betalactams176	3	903	betalactams	Class A betalactamases	CKO|MAL
groupI	mmarc_betalactams177	7	903	betalactams	Class A betalactamases	CEPA
groupI	mmarc_betalactams178	2	852	betalactams	Class A betalactamases	BLAZ
groupI	mmarc_betalactams179	29	1735	betalactams	Class A betalactamases	GES
groupI	mmarc_betalactams180	3	969	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams181	8	927	betalactams	Class A betalactamases	PER
groupI	mmarc_betalactams182	21	1140	betalactams	Class C betalactamases	DHA
groupI	mmarc_betalactams183	7	873	betalactams	Class A betalactamases	HERA
groupI	mmarc_betalactams184	2	927	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams185	10	831	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams186	8	1174	betalactams	Class C betalactamases	OCH
groupI	mmarc_betalactams187	7	831	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams188	6	912	betalactams	Class A betalactamases	CARB
groupI	mmarc_betalactams189	2	754	betalactams	Class B betalactamases	GIM
groupI	mmarc_betalactams190	344	1073	betalactams	Class A betalactamases	OKP|SHV|LEN
groupI	mmarc_betalactams191	27	1140	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams192	3	908	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams193	9	964	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams194	3	862	betalactams	Class A betalactamases	TEM
groupI	mmarc_betalactams195	5	1173	betalactams	Class C betalactamases	ACC
groupI	mmarc_betalactams196	3	852	betalactams	Class A betalactamases	BEL
groupI	mmarc_betalactams197	3	873	betalactams	Class B betalactamases	GOB
groupI	mmarc_betalactams198	8	999	betalactams	Class A betalactamases	CFX
groupI	mmarc_betalactams199	2	1758	betalactams	Penicillin binding protein	MECA
groupI	mmarc_betalactams200	14	1090	betalactams	Class A betalactamases	VEB
groupI	mmarc_betalactams201	14	798	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams202	2	828	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams203	12	1194	betalactams	Class C betalactamases	PDC
groupI	mmarc_betalactams204	2	1137	betalactams	Class C betalactamases	SRT
groupI	mmarc_betalactams205	9	828	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams206	2	804	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams207	2	945	betalactams	Class A betalactamases	TLA
groupI	mmarc_betalactams208	7	888	betalactams	Class A betalactamases	SFO|FONA
groupI	mmarc_betalactams209	4	801	betalactams	Class D betalactamases	OXA
groupI	mmarc_betalactams210	21	1187	betalactams	Class A betalactamases	CTX
groupI	mmarc_betalactams211	4	795	betalactams	Class D betalactamases	OXA
groupI	mmarc_Fluoroquinolones59	3	1536	Fluoroquinolones	Quinolone active efflux	QEPA
groupI	mmarc_Fluoroquinolones60	80	682	Fluoroquinolones	Quinolone resistance protein Qnr	QNRB
groupI	mmarc_Fluoroquinolones61	3	658	Fluoroquinolones	Quinolone resistance protein Qnr	QNRVC
groupI	mmarc_Fluoroquinolones62	2	645	Fluoroquinolones	Quinolone resistance protein Qnr	QNRD
groupI	mmarc_Fluoroquinolones63	9	657	Fluoroquinolones	Quinolone resistance protein Qnr	QNRS
groupI	mmarc_Fluoroquinolones64	8	657	Fluoroquinolones	Quinolone resistance protein Qnr	QNRA
groupI	mmarc_Fluoroquinolones65	2	1167	Fluoroquinolones	Quinolone active efflux	NORA
groupI	mmarc_Fluoroquinolones66	3	657	Fluoroquinolones	Quinolone resistance protein Qnr	QNRVC
groupI	mmarc_Fosfomycin16	5	420	Fosfomycin	Fosfomycin thiol transferases	FOSA
groupI	mmarc_Fosfomycin17	3	420	Fosfomycin	Fosfomycin thiol transferases	FOSB
groupI	mmarc_Fosfomycin18	4	582	Fosfomycin	Fosfomycin thiol transferases	FOSA
groupI	mmarc_Glycopeptides59	3	981	Glycopeptides	VanA-type resistance protein|VanM-type resistance protein|VanE-type resistance protein	VANHM|VANHA|VANHE
groupI	mmarc_Glycopeptides60	3	969	Glycopeptides	VanA-type resistance protein	VANHA
groupI	mmarc_Glycopeptides61	4	615	Glycopeptides	VanA-type resistance protein	VANXA
groupI	mmarc_Glycopeptides62	4	828	Glycopeptides	VanB-type accessory protein	VANWB
groupI	mmarc_Glycopeptides63	5	927	Glycopeptides	VanA-type accessory protein	VANYA
groupI	mmarc_Glycopeptides64	4	1032	Glycopeptides	VanD-type resistance protein	VAND
groupI	mmarc_Glycopeptides65	2	405	Glycopeptides	Bleomycin resistance protein	BRP
groupI	mmarc_Glycopeptides66	3	699	Glycopeptides	VanD-type regulator	VANRD
groupI	mmarc_Glycopeptides67	2	2097	Glycopeptides	VanC-type resistance protein	VANTC
groupI	mmarc_Glycopeptides68	2	1086	Glycopeptides	VanC-type regulator	VANSC
groupI	mmarc_Glycopeptides69	2	2104	Glycopeptides	VanN-type resistance protein	VANTN
groupI	mmarc_Glycopeptides70	5	1365	Glycopeptides	VanB-type regulator	VANSB
groupI	mmarc_Glycopeptides71	4	573	Glycopeptides	VanC-type resistance protein	VANXYC
groupI	mmarc_Glycopeptides72	3	1032	Glycopeptides	VanC-type resistance protein	VANC
groupI	mmarc_Glycopeptides73	4	1146	Glycopeptides	VanD-type regulator	VANSD
groupI	mmarc_Glycopeptides74	6	1840	Glycopeptides	VanA-type regulator	VANSA|VANRA
groupI	mmarc_Glycopeptides75	3	1065	Glycopeptides	VanC-type regulator	VANSC
groupI	mmarc_Glycopeptides76	4	673	Glycopeptides	VanA-type resistance protein|VanF-type resistance protein	VANXA|VANXF
groupI	mmarc_Glycopeptides77	3	696	Glycopeptides	VanC-type regulator	VANRC
groupI	mmarc_Glycopeptides78	3	609	Glycopeptides	VanB-type resistance protein	VANXB
groupI	mmarc_Glycopeptides79	2	696	Glycopeptides	VanA-type regulator	VANRA
groupI	mmarc_Glycopeptides80	3	609	Glycopeptides	VanD-type resistance protein	VANXD
groupI	mmarc_Glycopeptides81	4	1071	Glycopeptides	VanA-type resistance protein	VANHA
groupI	mmarc_Glycopeptides82	3	846	Glycopeptides	VanG-type accessory protein	VANWG
groupI	mmarc_Glycopeptides83	4	1029	Glycopeptides	VanB-type resistance protein	VANB
groupI	mmarc_Glycopeptides84	3	2103	Glycopeptides	VanC-type resistance protein	VANTC
groupI	mmarc_Glycopeptides85	3	1072	Glycopeptides	VanD-type accessory protein	VANYD
groupI	mmarc_Glycopeptides86	2	609	Glycopeptides	VanA-type resistance protein|VanM-type resistance protein	VANXM|VANXA
groupI	mmarc_Glycopeptides87	4	972	Glycopeptides	VanD-type resistance protein	VANHD
groupI	mmarc_Glycopeptides88	7	1032	Glycopeptides	VanA-type resistance protein	VANA
groupI	mmarc_Glycopeptides89	6	1053	Glycopeptides	VanC-type resistance protein	VANC
groupI	mmarc_Glycopeptides90	3	663	Glycopeptides	VanB-type regulator	VANRB
groupI	mmarc_Metronidazole2	2	458	Metronidazole	nim nitroimidazole reductase	NIME
groupI	mmarc_Metronidazole3	5	463	Metronidazole	nim nitroimidazole reductase	NIMI
groupI	mmarc_Metronidazole4	3	495	Metronidazole	nim nitroimidazole reductase	NIMA|NIMB|NIMD
groupI	mmarc_MLS58	2	787	MLS	23S rRNA methyltransferases	ERMQ
groupI	mmarc_MLS59	2	630	MLS	Streptogramin A O-acetyltransferase	VATD
groupI	mmarc_MLS60	2	1146	MLS	23S rRNA methyltransferases	ERME
groupI	mmarc_MLS61	5	1569	MLS	ABC transporter	VGA
groupI	mmarc_MLS62	3	864	MLS	23S rRNA methyltransferases	ERMD
groupI	mmarc_MLS63	2	922	MLS	Macrolide phosphotransferases	MPHA
groupI	mmarc_MLS64	13	736	MLS	23S rRNA methyltransferases	ERMC|ERMR|ERMT
groupI	mmarc_MLS65	2	840	MLS	Lincosamide efflux pump	LMRB
groupI	mmarc_MLS66	3	1218	MLS	Macrolide resistance efflux pumps	MEFA
groupI	mmarc_MLS67	11	753	MLS	23S rRNA methyltransferases	ERMB
groupI	mmarc_MLS68	2	793	MLS	23S rRNA methyltransferases	ERMV
groupI	mmarc_MLS69	5	813	MLS	23S rRNA methyltransferases	ERMF
groupI	mmarc_MLS70	3	822	MLS	Lincosamide nucleotidyltransferases	LNUF
groupI	mmarc_MLS71	2	843	MLS	23S rRNA methyltransferases	ERM32
groupI	mmarc_MLS72	3	1479	MLS	Macrolide resistance efflux pumps	MSRC
groupI	mmarc_MLS73	4	1299	MLS	Macrolide glycosyltransferases	MGT|GIMA
groupI	mmarc_MLS74	2	804	MLS	Lincosamide nucleotidyltransferases	LNUB
groupI	mmarc_MLS75	2	901	MLS	Macrolide phosphotransferases	MPHB
groupI	mmarc_MLS76	2	912	MLS	23S rRNA methyltransferases	ERM42
groupI	mmarc_MLS77	6	1238	MLS	Macrolide esterases	EREA
groupI	mmarc_MLS78	2	885	MLS	Macrolide phosphotransferases	MPHE
groupI	mmarc_MLS79	2	735	MLS	23S rRNA methyltransferases	ERMG
groupI	mmarc_MLS80	4	913	MLS	Macrolide phosphotransferases	MPH
groupI	mmarc_MLS81	3	900	MLS	Macrolide phosphotransferases	MPHC
groupI	mmarc_MLS82	4	856	MLS	23S rRNA methyltransferases	ERMX
groupI	mmarc_MLS83	3	1497	MLS	Streptogramin resistance ATP-binding cassette ABC efflux pumps	LSA
groupI	mmarc_MLS84	4	762	MLS	23S rRNA methyltransferases	ERMB|ERM
groupI	mmarc_MLS85	2	783	MLS	23S rRNA methyltransferases	ERMO
groupI	mmarc_MLS86	2	1260	MLS	Macrolide esterases	EREB
groupI	mmarc_MLS87	4	732	MLS	23S rRNA methyltransferases	ERMA
groupI	mmarc_MLS88	2	486	MLS	Lincosamide nucleotidyltransferases	LNUA
groupI	mmarc_MLS89	4	1467	MLS	Macrolide resistance efflux pumps	MSRA
groupI	mmarc_MLS90	2	1464	MLS	Macrolide resistance efflux pumps	MSRD
groupI	mmarc_MLS91	7	645	MLS	Streptogramin A O-acetyltransferase	VATE
groupI	mmarc_Multi-drug_resistance165	2	1545	Multi-drug resistance	Multi-drug efflux pumps	QACAB
groupI	mmarc_Multi-drug_resistance166	2	1191	Multi-drug resistance	Multi-drug efflux pumps	MEXX
groupI	mmarc_Multi-drug_resistance167	2	1371	Multi-drug resistance	Multi-drug efflux pumps	MEPA
groupI	mmarc_Multi-drug_resistance168	4	660	Multi-drug resistance	MDR regulator	ARLR
groupI	mmarc_Multi-drug_resistance169	2	1309	Multi-drug resistance	Multi-drug efflux pumps	BLT
groupI	mmarc_Multi-drug_resistance170	2	1374	Multi-drug resistance	MDR regulator	CPXAR
groupI	mmarc_Multi-drug_resistance171	3	699	Multi-drug resistance	MDR regulator	CPXAR
groupI	mmarc_Multi-drug_resistance172	2	3153	Multi-drug resistance	Multi-drug efflux pumps	OQXB
groupI	mmarc_Multi-drug_resistance173	2	990	Multi-drug resistance	MDR regulator	MEXT
groupI	mmarc_Multi-drug_resistance174	2	3143	Multi-drug resistance	Multi-drug efflux pumps	MEXY
groupI	mmarc_Multi-drug_resistance175	2	1356	Multi-drug resistance	MDR regulator	ARLS
groupI	mmarc_Multi-drug_resistance176	2	1251	Multi-drug resistance	Multi-drug efflux pumps	ADEAI
groupI	mmarc_Phenicol30	4	718	Phenicol	Chloramphenicol acetyltransferases	CAT
groupI	mmarc_Phenicol31	2	630	Phenicol	Chloramphenicol acetyltransferases	CATB
groupI	mmarc_Phenicol32	12	661	Phenicol	Chloramphenicol acetyltransferases	CATA
groupI	mmarc_Phenicol33	3	633	Phenicol	Chloramphenicol acetyltransferases	CATB
groupI	mmarc_Phenicol34	7	633	Phenicol	Chloramphenicol acetyltransferases	CATB
groupI	mmarc_Phenicol35	3	1441	Phenicol	Phenicol efflux pumps	FEXA
groupI	mmarc_Phenicol36	3	642	Phenicol	Chloramphenicol acetyltransferases	CATA
groupI	mmarc_Phenicol37	2	642	Phenicol	Chloramphenicol acetyltransferases	CATA
groupI	mmarc_Phenicol38	2	661	Phenicol	Phenicol efflux pumps	CAT
groupI	mmarc_Phenicol39	13	1538	Phenicol	Phenicol efflux pumps	CMLB|CML
groupI	mmarc_Phenicol40	6	671	Phenicol	Chloramphenicol acetyltransferases	CATA
groupI	mmarc_Phenicol41	3	640	Phenicol	Chloramphenicol acetyltransferases	CATP
groupI	mmarc_Phenicol42	2	1176	Phenicol	Phenicol efflux pumps	CMXAB
groupI	mmarc_Phenicol43	11	1225	Phenicol	Phenicol efflux pumps	FLOR
groupI	mmarc_Rifampin29	2	453	Rifampin	Rifampin ADP-ribosyltransferase Arr	ARR
groupI	mmarc_Rifampin30	2	453	Rifampin	Rifampin ADP-ribosyltransferase Arr	ARR
groupI	mmarc_Rifampin31	5	543	Rifampin	Rifampin ADP-ribosyltransferase Arr	ARR
groupI	mmarc_Sulfonamides28	19	856	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	SULII
groupI	mmarc_Sulfonamides29	2	633	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	SULI
groupI	mmarc_Sulfonamides30	35	1054	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP|SULI|SULII
groupI	mmarc_Tetracyclines41	2	1233	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TET31
groupI	mmarc_Tetracyclines42	2	1920	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETM
groupI	mmarc_Tetracyclines43	2	1926	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETS
groupI	mmarc_Tetracyclines44	2	1197	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETJ
groupI	mmarc_Tetracyclines45	2	1381	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETK
groupI	mmarc_Tetracyclines46	4	2013	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETQ
groupI	mmarc_Tetracyclines47	3	1692	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	OTRB
groupI	mmarc_Tetracyclines48	4	1263	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETA
groupI	mmarc_Tetracyclines49	2	1185	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETD
groupI	mmarc_Tetracyclines50	5	1206	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETB
groupI	mmarc_Tetracyclines51	4	1221	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TET40
groupI	mmarc_Tetracyclines52	3	1920	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TET32
groupI	mmarc_Tetracyclines53	3	1353	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TET38
groupI	mmarc_Tetracyclines54	3	1920	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETO
groupI	mmarc_Tetracyclines55	2	1224	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TET33
groupI	mmarc_Tetracyclines56	2	1956	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETT
groupI	mmarc_Tetracyclines57	6	1937	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETW
groupI	mmarc_Tetracyclines58	5	1191	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETC
groupI	mmarc_Tetracyclines59	5	1182	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETG
groupI	mmarc_Tetracyclines60	4	1219	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETE
groupI	mmarc_Tetracyclines61	3	1167	Tetracyclines	Tetracycline inactivation enzymes	TETX
groupI	mmarc_Tetracyclines62	5	1203	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETH
groupI	mmarc_Tetracyclines63	12	1920	Tetracyclines	Tetracycline resistance ribosomal protection proteins	TETM
groupI	mmarc_Tetracyclines64	6	1275	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETA
groupI	mmarc_Tetracyclines65	8	1383	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETL
groupI	mmarc_Tetracyclines66	2	1188	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TET39
groupI	mmarc_Tetracyclines67	2	1176	Tetracyclines	Tetracycline resistance major facilitator superfamily MFS efflux pumps	TETY
groupI	mmarc_Trimethoprim18	6	483	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim19	3	295	Trimethoprim	Dihydrofolate reductase	DFRB
groupI	mmarc_Trimethoprim20	2	474	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim21	2	474	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim22	3	622	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim23	5	498	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim24	11	474	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim25	2	522	Trimethoprim	Dihydrofolate reductase	DHFR
groupI	mmarc_Trimethoprim26	6	529	Trimethoprim	Dihydrofolate reductase	DFRG|DFRK|DFRD
groupII	mmarc_Aminocoumarins13	9	1999	Aminocoumarins	Fluoroquinolone-resistant DNA topoisomerases|Aminocoumarin-resistant DNA topoisomerases	PARE
groupII	mmarc_Aminocoumarins14	3	1887	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupII	mmarc_Aminocoumarins15	5	1896	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupII	mmarc_Aminocoumarins16	2	2431	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	GYRB
groupII	mmarc_Aminocoumarins17	2	1944	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupII	mmarc_Aminocoumarins18	2	1933	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	GYRB
groupII	mmarc_Aminocoumarins19	2	1881	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupII	mmarc_Aminoglycosides88	2	676	Aminoglycosides	Aminoglycoside-resistant gidB	GIDB
groupII	mmarc_Aminoglycosides89	2	519	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
